FattyAcid,400_400,400_410,400_420,400_430,400_440,400_450,400_460,400_470,400_480,400_490,400_500,400_510,400_520,400_530,400_540,400_550,400_560,400_570,400_580,400_590,200_400,200_410,200_420,200_430,200_440,200_450,200_460,200_470,200_480,200_490,200_500,200_510,200_520,200_530,200_540,200_550,200_560,200_570,200_580,200_590,100_400,100_410,100_420,100_430,100_440,100_450,100_460,100_470,100_480,100_490,100_500,100_510,100_520,100_530,100_540,100_550,100_560,100_570,100_580,100_590,50_400,50_410,50_420,50_430,50_440,50_450,50_460,50_470,50_480,50_490,50_500,50_510,50_520,50_530,50_540,50_550,50_560,50_570,50_580,50_590,25_400,25_410,25_420,25_430,25_440,25_450,25_460,25_470,25_480,25_490,25_500,25_510,25_520,25_530,25_540,25_550,25_560,25_570,25_580,25_590,12.5_400,12.5_410,12.5_420,12.5_430,12.5_440,12.5_450,12.5_460,12.5_470,12.5_480,12.5_490,12.5_500,12.5_510,12.5_520,12.5_530,12.5_540,12.5_550,12.5_560,12.5_570,12.5_580,12.5_590,6.25_400,6.25_410,6.25_420,6.25_430,6.25_440,6.25_450,6.25_460,6.25_470,6.25_480,6.25_490,6.25_500,6.25_510,6.25_520,6.25_530,6.25_540,6.25_550,6.25_560,6.25_570,6.25_580,6.25_590,3.125_400,3.125_410,3.125_420,3.125_430,3.125_440,3.125_450,3.125_460,3.125_470,3.125_480,3.125_490,3.125_500,3.125_510,3.125_520,3.125_530,3.125_540,3.125_550,3.125_560,3.125_570,3.125_580,3.125_590,1.5625_400,1.5625_410,1.5625_420,1.5625_430,1.5625_440,1.5625_450,1.5625_460,1.5625_470,1.5625_480,1.5625_490,1.5625_500,1.5625_510,1.5625_520,1.5625_530,1.5625_540,1.5625_550,1.5625_560,1.5625_570,1.5625_580,1.5625_590,0.78125_400,0.78125_410,0.78125_420,0.78125_430,0.78125_440,0.78125_450,0.78125_460,0.78125_470,0.78125_480,0.78125_490,0.78125_500,0.78125_510,0.78125_520,0.78125_530,0.78125_540,0.78125_550,0.78125_560,0.78125_570,0.78125_580,0.78125_590,0.390625_400,0.390625_410,0.390625_420,0.390625_430,0.390625_440,0.390625_450,0.390625_460,0.390625_470,0.390625_480,0.390625_490,0.390625_500,0.390625_510,0.390625_520,0.390625_530,0.390625_540,0.390625_550,0.390625_560,0.390625_570,0.390625_580,0.390625_590
C20:5(n3),0.196,0.1927,0.2014,0.2204,0.2495,0.3049,0.3642,0.4172,0.5386,0.6497,0.5034,0.2537,0.1383,0.1062,0.0983,0.0952,0.093,0.091,0.0891,0.0869,0.0772,0.0796,0.0933,0.1164,0.1485,0.2052,0.2664,0.3217,0.441,0.5535,0.4248,0.1894,0.0731,0.041,0.0353,0.0343,0.034,0.0342,0.0343,0.0342,0.0712,0.0738,0.0875,0.1103,0.1425,0.1986,0.2604,0.3172,0.4354,0.5507,0.4327,0.1985,0.0742,0.0393,0.0329,0.032,0.0319,0.0322,0.0321,0.032,0.0672,0.0686,0.0785,0.097,0.1228,0.1678,0.2179,0.2647,0.3598,0.4554,0.3677,0.1778,0.0706,0.0392,0.0335,0.0327,0.0328,0.0329,0.033,0.0328,0.0659,0.0673,0.0767,0.0941,0.1191,0.1628,0.2117,0.2586,0.3515,0.4465,0.3654,0.1791,0.0715,0.0392,0.0335,0.0328,0.0328,0.033,0.0331,0.0327,0.0644,0.0657,0.0747,0.0911,0.1147,0.1562,0.2031,0.2485,0.3374,0.4293,0.3534,0.175,0.0704,0.0392,0.0334,0.0327,0.0327,0.0327,0.0329,0.0326,0.0663,0.0679,0.0774,0.0952,0.121,0.1654,0.2159,0.265,0.3608,0.4595,0.3772,0.1854,0.0735,0.04,0.0336,0.0325,0.0325,0.0325,0.0324,0.0325,0.0673,0.0684,0.0774,0.0948,0.1203,0.1637,0.2132,0.2615,0.3555,0.4523,0.3727,0.1848,0.0736,0.0402,0.0342,0.0332,0.0333,0.0336,0.0338,0.0335,0.0675,0.0684,0.0776,0.0958,0.1212,0.165,0.2146,0.2637,0.3582,0.4562,0.3758,0.1864,0.0742,0.041,0.0348,0.0339,0.0339,0.0342,0.0343,0.0342,0.0668,0.0686,0.079,0.097,0.1233,0.1693,0.2213,0.2718,0.3704,0.4716,0.3866,0.1897,0.0754,0.041,0.0345,0.0333,0.0331,0.0334,0.0335,0.0334,0.0688,0.0708,0.0821,0.1014,0.1296,0.1783,0.2334,0.2873,0.3924,0.5003,0.4098,0.1998,0.0775,0.0413,0.0347,0.0337,0.0336,0.0338,0.034,0.0336
C20:5(n3),0.1653,0.1642,0.1755,0.1951,0.2262,0.2824,0.3422,0.3952,0.5186,0.6273,0.4724,0.2262,0.1193,0.0918,0.0859,0.0834,0.0817,0.0806,0.0791,0.0778,0.0846,0.087,0.101,0.124,0.1576,0.2159,0.2785,0.3354,0.4605,0.5742,0.4301,0.1851,0.0734,0.0448,0.0395,0.0386,0.0384,0.0386,0.0384,0.0382,0.0705,0.0734,0.0873,0.1096,0.142,0.1977,0.2582,0.3139,0.4334,0.5443,0.4127,0.1791,0.0671,0.038,0.0328,0.0321,0.0321,0.0322,0.0324,0.0322,0.068,0.0696,0.0806,0.1004,0.1284,0.1765,0.2293,0.2783,0.3813,0.4793,0.3717,0.1689,0.0666,0.0381,0.0331,0.0323,0.0323,0.0324,0.0326,0.0326,0.0666,0.0686,0.0784,0.0967,0.123,0.1681,0.2181,0.2651,0.3624,0.4564,0.3588,0.167,0.0668,0.0385,0.0335,0.0329,0.033,0.0332,0.0333,0.0331,0.0659,0.0677,0.0779,0.0961,0.1222,0.1676,0.218,0.2663,0.3646,0.4605,0.3646,0.1706,0.0678,0.0389,0.0334,0.0326,0.0329,0.0329,0.0329,0.0328,0.0669,0.0683,0.0786,0.097,0.1238,0.1699,0.2209,0.2698,0.3704,0.4671,0.3659,0.1677,0.0666,0.0385,0.0336,0.0326,0.0325,0.0326,0.0329,0.0327,0.0671,0.0685,0.0785,0.097,0.124,0.1697,0.22,0.2683,0.3692,0.4638,0.3568,0.1596,0.0641,0.0386,0.034,0.0333,0.0334,0.0336,0.0337,0.0335,0.0668,0.0684,0.0792,0.0978,0.1246,0.1711,0.2218,0.2706,0.3727,0.4683,0.3587,0.1592,0.0636,0.0387,0.0346,0.0339,0.0335,0.0337,0.0337,0.0336,0.0672,0.0695,0.081,0.0995,0.1274,0.1758,0.2282,0.2784,0.384,0.4821,0.3677,0.1599,0.0636,0.0385,0.0337,0.033,0.0332,0.0334,0.0337,0.0335,0.0646,0.0667,0.077,0.0947,0.1203,0.165,0.2135,0.2598,0.3581,0.449,0.3389,0.1465,0.0591,0.0371,0.0332,0.0322,0.0326,0.0326,0.0329,0.0328
C20:5(n3),0.1567,0.1557,0.1668,0.1862,0.2172,0.2731,0.3323,0.3844,0.508,0.6153,0.4561,0.2085,0.1084,0.0839,0.0782,0.0761,0.0744,0.073,0.0718,0.0703,0.0886,0.0907,0.1038,0.1265,0.1596,0.2174,0.2795,0.3358,0.4609,0.5736,0.4276,0.1829,0.0744,0.0462,0.041,0.04,0.0398,0.04,0.0399,0.0394,0.0714,0.0742,0.0869,0.1087,0.1402,0.1947,0.2539,0.3087,0.4261,0.5355,0.4069,0.177,0.0673,0.0388,0.0336,0.0327,0.0327,0.0329,0.033,0.0327,0.0716,0.0739,0.0861,0.1059,0.1349,0.1847,0.2394,0.2895,0.3958,0.497,0.3867,0.1784,0.0715,0.0416,0.0364,0.0355,0.0352,0.0352,0.0351,0.035,0.0665,0.0683,0.0788,0.0974,0.1234,0.1692,0.2198,0.2672,0.3653,0.4605,0.3629,0.1694,0.0675,0.0387,0.0334,0.0326,0.0325,0.0325,0.0328,0.0326,0.0688,0.0705,0.0802,0.0989,0.125,0.1703,0.2206,0.2687,0.3671,0.4631,0.3661,0.1717,0.0697,0.041,0.0357,0.035,0.0352,0.0356,0.0358,0.0355,0.0665,0.0681,0.0782,0.0966,0.1227,0.168,0.2184,0.267,0.3666,0.4626,0.3632,0.1668,0.0665,0.0386,0.0336,0.0329,0.033,0.0333,0.0334,0.0331,0.0665,0.0684,0.0789,0.0972,0.1243,0.1709,0.2224,0.2718,0.3738,0.4709,0.3648,0.1643,0.0652,0.0387,0.0336,0.0329,0.0328,0.033,0.0333,0.0332,0.0661,0.068,0.0783,0.0964,0.123,0.169,0.2193,0.2678,0.3688,0.4636,0.3549,0.1574,0.0628,0.0379,0.0336,0.033,0.0328,0.0331,0.0334,0.033,0.0658,0.0675,0.0779,0.0965,0.1234,0.1701,0.221,0.2699,0.3726,0.4681,0.3563,0.1553,0.0616,0.0376,0.0329,0.0326,0.0325,0.0328,0.0332,0.0329,0.0653,0.0672,0.0774,0.0953,0.1217,0.1672,0.2168,0.2644,0.3647,0.4581,0.3475,0.1507,0.0601,0.0373,0.0332,0.0326,0.0325,0.033,0.0331,0.033
